Giới tính của bạn:,Độ tuổi của bạn:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1","Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2","Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1","So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2","Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3","Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4","Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1"
Nam,29,Cao đẳng - Trung cấp,Chính thức,13922600,2,,,,,,,,,
Nam,43,Đại học,Chính thức,15672287,4,,,,,,,,,
Nam,42,Khác,Chính thức,17611782,3,,,,,,,,,
Nam,28,Đại học,Chính thức,14648268,2,,,,,,,,,
Nam,61,THPT,Chính thức,17885751,4,,,,,,,,,
Nam,35,Khác,Chính thức,12518752,3,,,,,,,,,
Nam,30,Đại học,Chính thức,12871882,4,,,,,,,,,
Nam,26,Khác,Chính thức,15732469,3,,,,,,,,,
Nam,34,THPT,Chính thức,15832790,2,,,,,,,,,
Nam,43,Khác,Chính thức,12355904,4,,,,,,,,,
Nam,42,THPT,Chính thức,13772504,4,,,,,,,,,
Nam,50,THPT,Chính thức,17308728,4,,,,,,,,,
Nam,43,Khác,Chính thức,15215893,2,,,,,,,,,
Nam,52,Đại học,Chính thức,16133027,2,,,,,,,,,
Nam,33,Khác,Chính thức,15817692,4,,,,,,,,,
Nam,39,THPT,Chính thức,15690455,2,,,,,,,,,
Nam,44,THPT,Chính thức,13814382,1,,,,,,,,,
Nam,44,Đại học,Chính thức,14538652,2,,,,,,,,,
Nam,42,Khác,Chính thức,15678355,4,,,,,,,,,
Nam,20,THPT,Chính thức,13455123,2,,,,,,,,,
Nam,47,Cao đẳng - Trung cấp,Chính thức,17714097,3,,,,,,,,,
Nam,30,Đại học,Chính thức,17374455,2,,,,,,,,,
Nam,28,Khác,Chính thức,12839176,4,,,,,,,,,
Nam,28,THPT,Chính thức,15047954,4,,,,,,,,,
Nam,51,Cao đẳng - Trung cấp,Chính thức,14072220,4,,,,,,,,,
Nam,47,Đại học,Chính thức,17764276,3,,,,,,,,,
Nam,33,Khác,Chính thức,15701079,4,,,,,,,,,
Nam,49,THPT,Chính thức,15771425,2,,,,,,,,,
Nam,19,Khác,Chính thức,15873513,4,,,,,,,,,
Nam,28,Cao đẳng - Trung cấp,Chính thức,17879919,4,,,,,,,,,
Nam,42,Đại học,Chính thức,15161651,4,,,,,,,,,
Nam,52,Thạc sĩ - Tiến sĩ,Chính thức,15446974,3,,,,,,,,,
Nam,39,Khác,Chính thức,15813401,4,,,,,,,,,
Nam,37,Đại học,Chính thức,13028194,3,,,,,,,,,
Nam,34,Khác,Chính thức,14607844,3,,,,,,,,,
Nam,47,Đại học,Chính thức,17463945,3,,,,,,,,,
Nam,25,Đại học,Chính thức,15452032,4,,,,,,,,,
Nam,27,Đại học,Chính thức,17450656,4,,,,,,,,,
Nam,45,Thạc sĩ - Tiến sĩ,Chính thức,14835689,4,,,,,,,,,
Nam,34,Đại học,Chính thức,13654164,4,,,,,,,,,
Nam,50,THPT,Chính thức,16921708,4,,,,,,,,,
Nam,63,Thạc sĩ - Tiến sĩ,Chính thức,15159020,3,,,,,,,,,
Nam,48,Đại học,Chính thức,16567910,4,,,,,,,,,
Nam,32,Khác,Chính thức,13022935,2,,,,,,,,,
Nam,30,THPT,Chính thức,14954309,3,,,,,,,,,
Nam,23,THPT,Chính thức,14522833,2,,,,,,,,,
Nam,24,Khác,Chính thức,17432579,4,,,,,,,,,
Nam,43,Khác,Chính thức,12274973,1,,,,,,,,,
Nam,36,THPT,Chính thức,15405881,4,,,,,,,,,
Nam,32,Thạc sĩ - Tiến sĩ,Chính thức,17052091,4,,,,,,,,,
Nam,44,THPT,Chính thức,16311861,2,,,,,,,,,
Nam,62,Khác,Chính thức,16947808,4,,,,,,,,,
Nam,40,Khác,Chính thức,15540839,4,,,,,,,,,
Nam,43,Thạc sĩ - Tiến sĩ,Chính thức,12399739,2,,,,,,,,,
Nam,49,THPT,Chính thức,13620701,2,,,,,,,,,
Nam,62,Đại học,Chính thức,14570811,4,,,,,,,,,
Nam,26,Đại học,Chính thức,16611209,3,,,,,,,,,
Nam,32,Đại học,Chính thức,15269490,2,,,,,,,,,
Nam,34,THPT,Chính thức,12192724,2,,,,,,,,,
Nam,31,Khác,Chính thức,13793089,4,,,,,,,,,
Nam,53,Cao đẳng - Trung cấp,Chính thức,12998317,2,,,,,,,,,
Nam,42,Khác,Chính thức,14779632,1,,,,,,,,,
Nam,33,THPT,Chính thức,16409254,1,,,,,,,,,
Nam,34,Khác,Chính thức,14765532,4,,,,,,,,,
Nam,33,Khác,Chính thức,17355382,2,,,,,,,,,
Nam,45,Khác,Chính thức,15615899,4,,,,,,,,,
Nam,41,Thạc sĩ - Tiến sĩ,Chính thức,12395507,3,,,,,,,,,
Nam,49,Đại học,Chính thức,12952202,4,,,,,,,,,
Nam,41,Đại học,Chính thức,17289093,1,,,,,,,,,
Nam,30,Khác,Chính thức,14113689,3,,,,,,,,,
Nam,42,Đại học,Chính thức,12546426,2,,,,,,,,,
Nam,25,Thạc sĩ - Tiến sĩ,Chính thức,13620686,2,,,,,,,,,
Nam,29,Cao đẳng - Trung cấp,Chính thức,13652884,4,,,,,,,,,
Nam,44,Cao đẳng - Trung cấp,Chính thức,14140683,4,,,,,,,,,
Nam,38,Đại học,Chính thức,12551057,4,,,,,,,,,
Nam,49,Đại học,Chính thức,13419679,2,,,,,,,,,
Nam,48,Cao đẳng - Trung cấp,Chính thức,14566481,4,,,,,,,,,
Nam,46,Khác,Chính thức,15561730,3,,,,,,,,,
Nam,26,Đại học,Chính thức,15117573,4,,,,,,,,,
Nam,44,THPT,Chính thức,12709382,2,,,,,,,,,
Nam,50,THPT,Chính thức,15959150,2,,,,,,,,,
Nam,36,THPT,Chính thức,15859533,3,,,,,,,,,
Nam,40,Thạc sĩ - Tiến sĩ,Chính thức,14018301,4,,,,,,,,,
Nam,27,THPT,Chính thức,16379548,4,,,,,,,,,
Nam,58,Đại học,Chính thức,14952959,2,,,,,,,,,
Nam,26,Đại học,Chính thức,12289307,2,,,,,,,,,
Nam,38,THPT,Chính thức,15714368,2,,,,,,,,,
Nam,51,THPT,Chính thức,17575947,2,,,,,,,,,
Nam,48,Đại học,Chính thức,12992521,4,,,,,,,,,
Nam,30,Cao đẳng - Trung cấp,Chính thức,16983222,3,,,,,,,,,
Nam,48,Đại học,Chính thức,13449619,3,,,,,,,,,
Nam,37,Cao đẳng - Trung cấp,Chính thức,17536540,4,,,,,,,,,
Nam,36,Đại học,Chính thức,17495790,4,,,,,,,,,
Nam,25,Khác,Chính thức,15484049,2,,,,,,,,,
Nam,29,Khác,Chính thức,12009437,4,,,,,,,,,
Nam,53,Đại học,Chính thức,17930940,4,,,,,,,,,
Nam,31,Đại học,Chính thức,16982536,2,,,,,,,,,
Nam,34,Đại học,Chính thức,16784993,4,,,,,,,,,
Nam,46,THPT,Chính thức,17132613,3,,,,,,,,,
Nam,31,Đại học,Chính thức,15577127,4,,,,,,,,,
Nam,35,THPT,Chính thức,17469876,2,,,,,,,,,
Nam,46,Khác,Chính thức,14960387,4,,,,,,,,,
Nam,36,THPT,Chính thức,14064033,4,,,,,,,,,
Nam,31,THPT,Chính thức,12860275,3,,,,,,,,,
Nam,53,Khác,Chính thức,16797253,4,,,,,,,,,
Nam,29,Thạc sĩ - Tiến sĩ,Chính thức,16271493,4,,,,,,,,,
Nam,52,THPT,Chính thức,15511725,4,,,,,,,,,
Nam,62,Đại học,Chính thức,15103258,4,,,,,,,,,
Nam,63,THPT,Chính thức,13570466,4,,,,,,,,,
Nam,30,THPT,Chính thức,17654189,2,,,,,,,,,
Nam,30,THPT,Chính thức,16258897,2,,,,,,,,,
Nam,37,THPT,Chính thức,16442368,4,,,,,,,,,
Nam,49,Đại học,Chính thức,15866637,2,,,,,,,,,
Nam,27,Đại học,Chính thức,13312901,3,,,,,,,,,
Nam,37,Cao đẳng - Trung cấp,Chính thức,14091776,2,,,,,,,,,
Nam,58,Khác,Chính thức,13103736,4,,,,,,,,,
Nam,30,THPT,Chính thức,13936349,4,,,,,,,,,
Nam,47,Đại học,Chính thức,17282211,2,,,,,,,,,
Nam,22,THPT,Chính thức,14370981,3,,,,,,,,,
Nam,43,THPT,Chính thức,16002607,2,,,,,,,,,
Nam,31,Đại học,Chính thức,16151818,2,,,,,,,,,
Nam,48,Đại học,Chính thức,13912389,2,,,,,,,,,
Nam,38,Đại học,Chính thức,14874743,4,,,,,,,,,
Nam,53,Đại học,Chính thức,13554860,1,,,,,,,,,
Nam,45,Khác,Chính thức,12528962,3,,,,,,,,,
Nam,26,Khác,Chính thức,12218631,4,,,,,,,,,
Nam,54,THPT,Chính thức,15727074,1,,,,,,,,,
Nam,33,THPT,Chính thức,16027051,3,,,,,,,,,
Nam,33,Đại học,Chính thức,14140865,2,,,,,,,,,
Nam,33,Đại học,Chính thức,15868269,2,,,,,,,,,
Nam,32,Khác,Chính thức,16659698,2,,,,,,,,,
Nam,45,Cao đẳng - Trung cấp,Chính thức,17625314,4,,,,,,,,,
Nam,43,Khác,Chính thức,12680244,4,,,,,,,,,
Nam,31,Đại học,Chính thức,17781701,4,,,,,,,,,
Nam,24,THPT,Chính thức,12168958,4,,,,,,,,,
Nam,31,Đại học,Chính thức,12686222,3,,,,,,,,,
Nam,35,Đại học,Chính thức,13855982,3,,,,,,,,,
Nam,37,Đại học,Chính thức,14411176,4,,,,,,,,,
Nam,64,Đại học,Chính thức,13572288,3,,,,,,,,,
Nam,43,Đại học,Chính thức,13155993,4,,,,,,,,,
Nam,37,Khác,Chính thức,16503320,3,,,,,,,,,
Nam,41,Khác,Chính thức,15322670,2,,,,,,,,,
Nam,39,THPT,Chính thức,12184697,4,,,,,,,,,
Nam,46,THPT,Chính thức,17460423,3,,,,,,,,,
Nam,38,Đại học,Chính thức,12855814,4,,,,,,,,,
Nam,34,Đại học,Chính thức,14637588,4,,,,,,,,,
Nam,49,THPT,Chính thức,14699183,3,,,,,,,,,
Nam,42,THPT,Chính thức,15953305,4,,,,,,,,,
Nam,40,Khác,Chính thức,13384673,4,,,,,,,,,
Nam,49,Đại học,Chính thức,17987788,4,,,,,,,,,
Nam,33,THPT,Chính thức,14545008,4,,,,,,,,,
Nam,20,THPT,Chính thức,13522254,4,,,,,,,,,
Nam,54,Cao đẳng - Trung cấp,Chính thức,12692400,4,,,,,,,,,
Nam,35,THPT,Chính thức,14892453,4,,,,,,,,,
Nam,43,Thạc sĩ - Tiến sĩ,Chính thức,13229385,4,,,,,,,,,
Nam,39,THPT,Chính thức,12687255,2,,,,,,,,,
Nam,49,Khác,Chính thức,13073451,3,,,,,,,,,
Nam,40,THPT,Chính thức,12392262,3,,,,,,,,,
Nam,33,Đại học,Chính thức,12243546,1,,,,,,,,,
Nam,35,Đại học,Chính thức,12818026,4,,,,,,,,,
Nam,39,Khác,Chính thức,15894924,3,,,,,,,,,
Nam,20,Khác,Chính thức,17677938,4,,,,,,,,,
Nam,38,Đại học,Chính thức,13765379,4,,,,,,,,,
Nam,52,Đại học,Chính thức,13027241,3,,,,,,,,,
Nam,41,Đại học,Chính thức,13734753,2,,,,,,,,,
Nam,45,Thạc sĩ - Tiến sĩ,Chính thức,17375337,2,,,,,,,,,
Nam,49,THPT,Chính thức,17197656,4,,,,,,,,,
Nam,36,Cao đẳng - Trung cấp,Chính thức,16342201,3,,,,,,,,,
Nam,64,THPT,Chính thức,16487108,3,,,,,,,,,
Nam,45,Khác,Chính thức,15714360,4,,,,,,,,,
Nam,43,THPT,Chính thức,13463651,2,,,,,,,,,
Nam,49,Đại học,Chính thức,15004369,2,,,,,,,,,
Nam,29,Đại học,Chính thức,16863410,1,,,,,,,,,
Nam,29,Khác,Chính thức,15218055,3,,,,,,,,,
Nam,45,Khác,Chính thức,14114123,4,,,,,,,,,
Nam,31,Đại học,Chính thức,16504145,3,,,,,,,,,
Nam,34,THPT,Chính thức,13998863,2,,,,,,,,,
Nam,44,Đại học,Chính thức,15948538,4,,,,,,,,,
Nam,43,Đại học,Chính thức,15396579,2,,,,,,,,,
Nam,43,Khác,Chính thức,12649509,3,,,,,,,,,
Nam,49,Đại học,Chính thức,15335252,2,,,,,,,,,
Nam,27,Khác,Chính thức,15181490,4,,,,,,,,,
Nam,34,Đại học,Chính thức,14743067,4,,,,,,,,,
Nam,33,THPT,Chính thức,16852586,4,,,,,,,,,
Nam,47,THPT,Chính thức,14403152,2,,,,,,,,,
Nam,30,THPT,Chính thức,15214605,3,,,,,,,,,
Nam,21,Khác,Chính thức,15932576,3,,,,,,,,,
Nam,28,THPT,Chính thức,15641245,4,,,,,,,,,
Nam,37,Khác,Chính thức,17039580,3,,,,,,,,,
Nam,46,Đại học,Chính thức,14203611,3,,,,,,,,,
Nam,64,Khác,Chính thức,14081023,3,,,,,,,,,
Nam,38,Đại học,Chính thức,17615625,4,,,,,,,,,
Nam,48,THPT,Chính thức,17560297,4,,,,,,,,,
Nam,33,Thạc sĩ - Tiến sĩ,Chính thức,12197035,4,,,,,,,,,
Nam,62,THPT,Chính thức,13211158,2,,,,,,,,,
Nam,27,Đại học,Chính thức,13472506,4,,,,,,,,,
Nam,37,Khác,Chính thức,17863971,2,,,,,,,,,
Nam,44,Cao đẳng - Trung cấp,Chính thức,17579860,4,,,,,,,,,
Nam,40,THPT,Chính thức,16763853,4,,,,,,,,,
Nam,45,Khác,Chính thức,13070766,4,,,,,,,,,
Nam,45,THPT,Chính thức,14153120,3,,,,,,,,,
Nam,53,Đại học,Chính thức,16848222,4,,,,,,,,,
Nam,47,THPT,Chính thức,12100597,4,,,,,,,,,
Nam,63,Thạc sĩ - Tiến sĩ,Chính thức,17825127,4,,,,,,,,,
Nam,26,Đại học,Chính thức,14071781,2,,,,,,,,,
Nam,25,THPT,Chính thức,13219288,4,,,,,,,,,
Nam,43,Thạc sĩ - Tiến sĩ,Chính thức,14184426,1,,,,,,,,,
Nam,37,Thạc sĩ - Tiến sĩ,Chính thức,15621594,1,,,,,,,,,
Nam,50,Đại học,Chính thức,17554586,3,,,,,,,,,
Nam,36,THPT,Chính thức,17604788,4,,,,,,,,,
Nam,47,Cao đẳng - Trung cấp,Chính thức,15879776,2,,,,,,,,,
Nam,31,Khác,Chính thức,15363464,4,,,,,,,,,
Nam,26,Thạc sĩ - Tiến sĩ,Chính thức,12205768,2,,,,,,,,,
Nam,53,Đại học,Chính thức,16718152,2,,,,,,,,,
Nam,36,THPT,Chính thức,15644719,3,,,,,,,,,
Nam,31,Đại học,Chính thức,12087929,1,,,,,,,,,
Nam,36,Khác,Chính thức,13037338,2,,,,,,,,,
Nam,38,Đại học,Chính thức,17922423,2,,,,,,,,,
Nam,54,Đại học,Chính thức,12266889,1,,,,,,,,,
Nam,42,Đại học,Chính thức,12221500,3,,,,,,,,,
Nam,25,Khác,Chính thức,16925771,4,,,,,,,,,
Nam,33,Khác,Chính thức,14216289,4,,,,,,,,,
Nam,42,Khác,Chính thức,16357890,3,,,,,,,,,
Nam,28,Đại học,Chính thức,12695901,1,,,,,,,,,
Nam,40,Đại học,Chính thức,14067419,4,,,,,,,,,
Nam,32,Đại học,Chính thức,16456995,4,,,,,,,,,
Nam,27,Đại học,Chính thức,17548248,4,,,,,,,,,
Nam,19,Đại học,Chính thức,17302624,4,,,,,,,,,
Nam,43,Khác,Chính thức,14264653,4,,,,,,,,,
Nam,40,THPT,Chính thức,17776228,4,,,,,,,,,
Nam,48,Đại học,Chính thức,12275743,4,,,,,,,,,
Nam,35,Đại học,Chính thức,12886929,2,,,,,,,,,
Nam,39,Cao đẳng - Trung cấp,Chính thức,16913038,4,,,,,,,,,
Nam,35,Khác,Chính thức,17835539,1,,,,,,,,,
Nam,19,Khác,Chính thức,13499026,1,,,,,,,,,
Nam,32,THPT,Chính thức,15756257,1,,,,,,,,,
Nam,29,Khác,Chính thức,15327646,2,,,,,,,,,
Nam,38,THPT,Chính thức,13473099,4,,,,,,,,,
Nam,27,THPT,Chính thức,13067644,4,,,,,,,,,
Nam,30,Đại học,Chính thức,16887954,2,,,,,,,,,
Nam,37,Khác,Chính thức,12576231,2,,,,,,,,,
Nam,47,Đại học,Chính thức,17241390,3,,,,,,,,,
Nam,42,Cao đẳng - Trung cấp,Chính thức,16023301,4,,,,,,,,,
Nam,30,Khác,Chính thức,12533332,4,,,,,,,,,
Nam,39,THPT,Chính thức,13106458,2,,,,,,,,,
Nam,37,Đại học,Chính thức,12518279,4,,,,,,,,,
Nam,30,Khác,Chính thức,13764340,4,,,,,,,,,
Nam,55,Khác,Chính thức,15383634,4,,,,,,,,,
Nam,28,THPT,Chính thức,16592954,4,,,,,,,,,
Nam,23,Đại học,Chính thức,16074546,3,,,,,,,,,
Nam,54,Khác,Chính thức,12031187,4,,,,,,,,,
Nam,20,THPT,Chính thức,14203103,3,,,,,,,,,
Nam,33,Đại học,Chính thức,13045940,3,,,,,,,,,
Nam,29,Đại học,Chính thức,13579507,3,,,,,,,,,
Nam,44,Đại học,Chính thức,17621623,1,,,,,,,,,
Nam,30,Cao đẳng - Trung cấp,Chính thức,17284633,2,,,,,,,,,
Nam,59,Đại học,Chính thức,14987108,2,,,,,,,,,
Nam,43,Khác,Chính thức,17695292,4,,,,,,,,,
Nam,32,Đại học,Chính thức,12277019,4,,,,,,,,,
Nam,31,Đại học,Chính thức,14632187,2,,,,,,,,,
Nam,28,Đại học,Chính thức,14881757,4,,,,,,,,,
Nam,26,Đại học,Chính thức,17104500,4,,,,,,,,,
Nam,32,THPT,Chính thức,15108857,2,,,,,,,,,
Nam,36,THPT,Chính thức,13734285,4,,,,,,,,,
Nam,44,Đại học,Chính thức,13313477,4,,,,,,,,,
Nam,33,Đại học,Chính thức,14044602,3,,,,,,,,,
