Giới tính của bạn:,Độ tuổi của bạn:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1","Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2","Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1","So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2","Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3","Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4","Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1"
Nữ,46,Đại học,Chính thức,21842747.78,2,,,,,,,,,
Nam,47,THPT,Chính thức,28693832.84,3,,,,,,,,,
Nam,41,Cao đẳng - Trung cấp nghề,Chính thức,17764088.99,4,,,,,,,,,
Nam,43,THPT,Chính thức,12991865.14,4,,,,,,,,,
Nữ,37,Đại học,Chính thức,37791201.12,1,,,,,,,,,
Nam,38,Đại học,Chính thức,125557943,2,,,,,,,,,
Nam,42,Thạc sĩ - Tiến sĩ,Chính thức,43362081.01,2,,,,,,,,,
Nữ,36,Thạc sĩ - Tiến sĩ,Chính thức,101573423.8,2,,,,,,,,,
Nam,52,Đại học,Chính thức,22000103.46,4,,,,,,,,,
Nữ,39,Đại học,Chính thức,25678168.47,3,,,,,,,,,
Nam,38,Đại học,Chính thức,43360335.2,3,,,,,,,,,
Nam,42,Cao đẳng - Trung cấp nghề,Chính thức,15033421.54,6,,,,,,,,,
Nam,38,THPT,Chính thức,13330000.98,3,,,,,,,,,
Nam,35,Đại học,Chính thức,32777351.02,3,,,,,,,,,
Nam,39,THPT,Chính thức,22462238.78,3,,,,,,,,,
Nam,36,Đại học,Chính thức,13291678.92,9,,,,,,,,,
Nam,36,Cao đẳng - Trung cấp nghề,Phi chính thức,16226011.96,4,,,,,,,,,
Nam,37,THPT,Chính thức,14092521.81,2,,,,,,,,,
Nữ,36,Đại học,Chính thức,27223682.77,2,,,,,,,,,
Nam,50,Khác,Chính thức,14637459.57,2,,,,,,,,,
Nữ,41,THPT,Chính thức,15696069.78,5,,,,,,,,,
Nữ,32,Cao đẳng - Trung cấp nghề,Chính thức,22238775.09,4,,,,,,,,,
Nam,24,THPT,Chính thức,33613943.2,4,,,,,,,,,
Nam,32,Đại học,Chính thức,20307572.94,2,,,,,,,,,
Nữ,46,Đại học,Chính thức,31576185.78,1,,,,,,,,,
Nam,27,Đại học,Chính thức,14128393.61,1,,,,,,,,,
Nữ,29,Thạc sĩ - Tiến sĩ,Chính thức,16356757.82,2,,,,,,,,,
Nữ,26,Đại học,Chính thức,13542291.48,5,,,,,,,,,
Nam,38,Đại học,Chính thức,12877585.02,5,,,,,,,,,
Nam,43,Khác,Phi chính thức,14456238.36,4,,,,,,,,,
Nam,50,THPT,Chính thức,14832304.22,4,,,,,,,,,
Nam,28,THPT,Chính thức,18025346.58,3,,,,,,,,,
Nữ,29,THPT,Chính thức,17566696.07,2,,,,,,,,,
Nam,25,Đại học,Chính thức,35910730.91,3,,,,,,,,,
Nữ,33,THPT,Chính thức,15995099.48,3,,,,,,,,,
Nam,38,THPT,Chính thức,16050965.4,4,,,,,,,,,
Nam,31,Đại học,Chính thức,15652749.19,1,,,,,,,,,
Nữ,30,Đại học,Chính thức,18524725.84,2,,,,,,,,,
Nam,36,THPT,Chính thức,15035283.74,6,,,,,,,,,
Nam,37,THPT,Chính thức,20072108.42,5,,,,,,,,,
Nam,44,THPT,Chính thức,14230618.45,2,,,,,,,,,
Nữ,43,Đại học,Chính thức,21047279.12,2,,,,,,,,,
Nữ,46,Thạc sĩ - Tiến sĩ,Chính thức,25677949.39,2,,,,,,,,,
Nam,48,Đại học,Chính thức,21841713.22,2,,,,,,,,,
Nam,39,Đại học,Chính thức,21167908.13,2,,,,,,,,,
Nữ,38,Đại học,Chính thức,15133392.14,2,,,,,,,,,
Nam,46,Đại học,Chính thức,65329236.5,3,,,,,,,,,
Nam,44,Thạc sĩ - Tiến sĩ,Chính thức,14082720.77,8,,,,,,,,,
Nam,35,Cao đẳng - Trung cấp nghề,Chính thức,23328470.93,4,,,,,,,,,
Nữ,39,Đại học,Chính thức,21223463.69,3,,,,,,,,,
Nam,41,Thạc sĩ - Tiến sĩ,Chính thức,30921349.55,3,,,,,,,,,
Nam,56,THPT,Chính thức,15015093.6,3,,,,,,,,,
Nam,37,Đại học,Chính thức,23327850.2,3,,,,,,,,,
Nam,41,Đại học,Chính thức,22090109.66,1,,,,,,,,,
Nữ,36,Đại học,Chính thức,17724100.75,2,,,,,,,,,
Nam,38,Đại học,Chính thức,14793786.14,2,,,,,,,,,
Nam,30,THPT,Phi chính thức,12879153.19,6,,,,,,,,,
Nam,24,THPT,Chính thức,14246300.11,5,,,,,,,,,
Nữ,32,Đại học,Chính thức,13777124.38,1,,,,,,,,,
Nam,32,Đại học,Chính thức,28431701.17,2,,,,,,,,,
Nam,50,Khác,Phi chính thức,19976619.08,4,,,,,,,,,
Nữ,27,Đại học,Chính thức,22436168.01,7,,,,,,,,,
Nữ,37,Đại học,Chính thức,19619904.82,2,,,,,,,,,
Nam,39,Đại học,Chính thức,16259531.51,2,,,,,,,,,
Nam,33,Đại học,Chính thức,21166977.03,2,,,,,,,,,
Nữ,33,Đại học,Chính thức,13442124.87,2,,,,,,,,,
Nam,34,Đại học,Chính thức,28431591.63,4,,,,,,,,,
Nữ,32,Đại học,Chính thức,17177594.83,1,,,,,,,,,
Nam,32,Đại học,Chính thức,22832609.15,2,,,,,,,,,
Nam,27,Cao đẳng - Trung cấp nghề,Chính thức,12574242.87,3,,,,,,,,,
Nam,27,Đại học,Chính thức,12540429.29,3,,,,,,,,,
Nam,24,Đại học,Chính thức,12583553.86,6,,,,,,,,,
Nữ,45,Đại học,Chính thức,17177888.86,2,,,,,,,,,
Nam,50,Đại học,Chính thức,17412329.71,2,,,,,,,,,
Nam,24,THPT,Chính thức,13562089.58,4,,,,,,,,,
Nữ,27,Đại học,Chính thức,14230912.48,2,,,,,,,,,
Nam,28,Cao đẳng - Trung cấp nghề,Chính thức,16034303.64,2,,,,,,,,,
Nam,26,Cao đẳng - Trung cấp nghề,Chính thức,15418406.35,4,,,,,,,,,
Nam,22,Cao đẳng - Trung cấp nghề,Chính thức,13325688.52,3,,,,,,,,,
Nam,36,Khác,Phi chính thức,13541899.44,5,,,,,,,,,
Nam,49,Đại học,Chính thức,17207193.96,6,,,,,,,,,
Nữ,31,THPT,Phi chính thức,27204732.17,4,,,,,,,,,
Nữ,32,THPT,Phi chính thức,15133000.1,7,,,,,,,,,
Nam,29,Khác,Chính thức,12497206.7,4,,,,,,,,,
Nam,51,Đại học,Phi chính thức,23713002.52,2,,,,,,,,,
Nam,57,THPT,Chính thức,13667646.77,3,,,,,,,,,
Nam,31,Khác,Chính thức,12872390.47,4,,,,,,,,,
Nam,35,Đại học,Chính thức,41411312.85,3,,,,,,,,,
Nam,43,Đại học,Chính thức,27203527.22,3,,,,,,,,,
Nữ,41,THPT,Chính thức,15695775.75,2,,,,,,,,,
Nữ,29,Đại học,Phi chính thức,12878467.12,4,,,,,,,,,
Nam,37,Đại học,Chính thức,24367071.97,2,,,,,,,,,
Nữ,36,Đại học,Chính thức,16238753.31,2,,,,,,,,,
Nữ,47,Đại học,Chính thức,19860852.47,3,,,,,,,,,
Nam,52,Đại học,Chính thức,16121336.86,2,,,,,,,,,
Nam,60,Đại học,Chính thức,15183475.45,2,,,,,,,,,
Nam,40,Đại học,Chính thức,102761782,4,,,,,,,,,
Nữ,39,Thạc sĩ - Tiến sĩ,Chính thức,55230664.18,5,,,,,,,,,
Nam,54,THPT,Chính thức,36816689.94,5,,,,,,,,,
Nữ,39,Đại học,Chính thức,12427619.33,2,,,,,,,,,
Nam,40,Đại học,Chính thức,19144216.84,2,,,,,,,,,
Nữ,37,THPT,Chính thức,14549348.23,5,,,,,,,,,
Nam,31,Cao đẳng - Trung cấp nghề,Chính thức,24558549.68,3,,,,,,,,,
Nữ,31,Đại học,Chính thức,24558549.68,2,,,,,,,,,
Nam,42,THPT,Chính thức,14175830.64,3,,,,,,,,,
Nữ,39,Cao đẳng - Trung cấp nghề,Chính thức,13150347.94,2,,,,,,,,,
Nữ,26,Đại học,Chính thức,13668332.84,3,,,,,,,,,
Nam,33,Đại học,Chính thức,16259629.52,3,,,,,,,,,
Nữ,28,Đại học,Chính thức,16034107.62,2,,,,,,,,,
Nữ,49,Đại học,Chính thức,57904034.76,3,,,,,,,,,
Nữ,48,Đại học,Chính thức,22697082.56,2,,,,,,,,,
Nam,49,Đại học,Chính thức,34311219.74,2,,,,,,,,,
Nam,40,Đại học,Chính thức,23216739.09,2,,,,,,,,,
Nữ,39,Đại học,Chính thức,15712045.48,2,,,,,,,,,
Nam,30,THPT,Phi chính thức,14177594.83,4,,,,,,,,,
Nam,32,Thạc sĩ - Tiến sĩ,Chính thức,14231696.56,3,,,,,,,,,
Nữ,27,Cao đẳng - Trung cấp nghề,Chính thức,18788226.77,4,,,,,,,,,
Nam,44,Thạc sĩ - Tiến sĩ,Chính thức,48248789.57,2,,,,,,,,,
Nữ,32,Thạc sĩ - Tiến sĩ,Chính thức,31577062.11,2,,,,,,,,,
Nữ,54,Đại học,Phi chính thức,28299813.78,2,,,,,,,,,
Nữ,28,Đại học,Chính thức,14011173.18,2,,,,,,,,,
Nam,44,Đại học,Chính thức,14740566.5,7,,,,,,,,,
Nam,69,Thạc sĩ - Tiến sĩ,Chính thức,30922225.87,3,,,,,,,,,
Nam,54,Đại học,Chính thức,14005978.63,7,,,,,,,,,
Nữ,53,Đại học,Chính thức,12878663.14,3,,,,,,,,,
Nam,35,Đại học,Chính thức,43361964.62,3,,,,,,,,,
Nữ,62,Đại học,Chính thức,14908556.31,5,,,,,,,,,
Nam,60,THPT,Chính thức,18005379.68,3,,,,,,,,,
Nữ,35,Đại học,Chính thức,19740740.74,4,,,,,,,,,
Nam,37,Đại học,Chính thức,18550900.06,3,,,,,,,,,
Nam,35,Thạc sĩ - Tiến sĩ,Chính thức,16823973.34,2,,,,,,,,,
Nữ,32,Đại học,Chính thức,15133196.12,2,,,,,,,,,
Nữ,55,Khác,Chính thức,12879055.18,3,,,,,,,,,
Nam,27,Khác,Chính thức,15697049.89,3,,,,,,,,,
Nam,37,Cao đẳng - Trung cấp nghề,Chính thức,14004998.53,4,,,,,,,,,
Nữ,35,Đại học,Chính thức,15921003.63,4,,,,,,,,,
Nữ,25,Thạc sĩ - Tiến sĩ,Chính thức,16004802.51,2,,,,,,,,,
Nam,33,Thạc sĩ - Tiến sĩ,Chính thức,23974805.56,2,,,,,,,,,
Nữ,34,Đại học,Chính thức,12369891.21,2,,,,,,,,,
Nam,40,Đại học,Chính thức,24368824.62,3,,,,,,,,,
Nam,30,THPT,Chính thức,21223877.51,2,,,,,,,,,
Nữ,51,THPT,Chính thức,23079867.58,3,,,,,,,,,
Nam,34,Cao đẳng - Trung cấp nghề,Chính thức,12777320.4,6,,,,,,,,,
Nam,47,Đại học,Chính thức,16034793.69,3,,,,,,,,,
Nữ,45,Đại học,Chính thức,19263811.3,3,,,,,,,,,
Nam,40,Đại học,Chính thức,17724884.84,4,,,,,,,,,
Nam,53,Thạc sĩ - Tiến sĩ,Chính thức,20631388.37,5,,,,,,,,,
Nam,44,Đại học,Chính thức,33172253.26,4,,,,,,,,,
Nam,54,Thạc sĩ - Tiến sĩ,Chính thức,26202650.89,2,,,,,,,,,
Nam,30,Thạc sĩ - Tiến sĩ,Chính thức,22337057.73,2,,,,,,,,,
Nữ,52,Thạc sĩ - Tiến sĩ,Chính thức,40575768.16,2,,,,,,,,,
Nữ,36,Đại học,Chính thức,42665037.24,3,,,,,,,,,
Nam,39,Thạc sĩ - Tiến sĩ,Chính thức,17411937.67,3,,,,,,,,,
Nam,35,Đại học,Chính thức,15184161.52,5,,,,,,,,,
Nữ,32,Thạc sĩ - Tiến sĩ,Chính thức,22338092.28,3,,,,,,,,,
Nam,46,THPT,Chính thức,28694051.92,3,,,,,,,,,
Nữ,39,Đại học,Chính thức,18500724.19,3,,,,,,,,,
Nam,45,Đại học,Chính thức,18073660.25,4,,,,,,,,,
Nam,25,Đại học,Chính thức,14569048.32,3,,,,,,,,,
Nam,48,Đại học,Chính thức,36817621.04,2,,,,,,,,,
Nữ,45,Thạc sĩ - Tiến sĩ,Chính thức,19490999.38,1,,,,,,,,,
Nữ,36,Đại học,Chính thức,18623939.58,2,,,,,,,,,
Nam,36,Thạc sĩ - Tiến sĩ,Chính thức,41272462.76,2,,,,,,,,,
Nam,38,Đại học,Chính thức,24760324.24,3,,,,,,,,,
Nữ,35,Cao đẳng - Trung cấp nghề,Chính thức,23202979.52,2,,,,,,,,,
Nữ,35,Đại học,Chính thức,16823581.3,3,,,,,,,,,
Nam,34,Đại học,Chính thức,16147309.61,2,,,,,,,,,
Nữ,38,Đại học,Chính thức,16779084.58,1,,,,,,,,,
Nam,43,Đại học,Chính thức,21966376.99,2,,,,,,,,,
Nữ,38,Thạc sĩ - Tiến sĩ,Chính thức,33056215.08,3,,,,,,,,,
Nam,38,Đại học,Chính thức,18871404.92,3,,,,,,,,,
Nữ,31,Thạc sĩ - Tiến sĩ,Chính thức,14903067.73,1,,,,,,,,,
Nam,23,Đại học,Chính thức,28300142.4,4,,,,,,,,,
Nam,42,Đại học,Chính thức,33891410.61,2,,,,,,,,,
Nữ,42,Đại học,Chính thức,32231131.56,2,,,,,,,,,
Nam,30,Đại học,Chính thức,12403998.82,6,,,,,,,,,
Nữ,29,Thạc sĩ - Tiến sĩ,Chính thức,22336850.82,2,,,,,,,,,
Nam,32,Đại học,Chính thức,16473488.19,2,,,,,,,,,
Nam,45,Đại học,Chính thức,23550005.48,7,,,,,,,,,
Nữ,27,Đại học,Chính thức,18128284.71,1,,,,,,,,,
Nam,39,THPT,Phi chính thức,21655907.3,2,,,,,,,,,
Nam,42,Đại học,Chính thức,20914649.29,2,,,,,,,,,
Nữ,37,Đại học,Chính thức,18253258.85,2,,,,,,,,,
Nam,33,Đại học,Phi chính thức,16121532.88,1,,,,,,,,,
Nữ,26,Đại học,Chính thức,12310496.91,1,,,,,,,,,
Nam,65,Đại học,Phi chính thức,30789023.99,2,,,,,,,,,
Nam,54,Đại học,Chính thức,15105557.19,4,,,,,,,,,
Nam,39,Cao đẳng - Trung cấp nghề,Chính thức,23845328.08,5,,,,,,,,,
Nữ,37,Đại học,Chính thức,15111829.85,2,,,,,,,,,
Nam,43,Thạc sĩ - Tiến sĩ,Chính thức,24919158.72,2,,,,,,,,,
Nam,31,Khác,Phi chính thức,20339747.57,3,,,,,,,,,
Nam,26,Khác,Phi chính thức,16972165.05,4,,,,,,,,,
Nam,24,THPT,Phi chính thức,13361266.29,5,,,,,,,,,
Nữ,41,Cao đẳng - Trung cấp nghề,Chính thức,13662256.2,6,,,,,,,,,
Nam,51,Đại học,Chính thức,14155542.49,3,,,,,,,,,
Nữ,44,Cao đẳng - Trung cấp nghề,Chính thức,12569538.37,2,,,,,,,,,
Nam,30,THPT,Chính thức,12950210.72,2,,,,,,,,,
Nữ,54,Đại học,Chính thức,12622463.98,4,,,,,,,,,
Nam,39,Khác,Chính thức,14276585.32,3,,,,,,,,,
Nam,35,Đại học,Chính thức,14279819.66,3,,,,,,,,,
Nữ,31,Đại học,Chính thức,12447123.4,2,,,,,,,,,
Nam,36,Thạc sĩ - Tiến sĩ,Chính thức,14623248.06,3,,,,,,,,,
Nữ,50,THPT,Chính thức,13819856.9,4,,,,,,,,,
Nữ,46,THPT,Chính thức,19118559.9,2,,,,,,,,,
Nam,40,Khác,Chính thức,13662648.24,2,,,,,,,,,
Nữ,33,Đại học,Chính thức,14130255.81,9,,,,,,,,,
Nữ,37,Đại học,Chính thức,13943251.98,2,,,,,,,,,
Nam,38,Thạc sĩ - Tiến sĩ,Chính thức,14453396.06,2,,,,,,,,,
Nữ,52,Đại học,Chính thức,26492825.06,2,,,,,,,,,
Nam,43,Đại học,Chính thức,28262022.13,4,,,,,,,,,
Nam,34,Đại học,Chính thức,25695037.79,4,,,,,,,,,
Nữ,32,THPT,Chính thức,14658433.79,3,,,,,,,,,
Nam,35,Cao đẳng - Trung cấp nghề,Chính thức,14658433.79,2,,,,,,,,,
Nữ,52,Đại học,Chính thức,14246594.14,2,,,,,,,,,
Nữ,50,Đại học,Chính thức,23420235.88,2,,,,,,,,,
Nam,51,Đại học,Chính thức,15015975.69,4,,,,,,,,,
Nam,43,Đại học,Chính thức,15132118,4,,,,,,,,,
Nam,38,THPT,Chính thức,15877192.98,3,,,,,,,,,
Nam,44,Cao đẳng - Trung cấp nghề,Chính thức,13487993.73,5,,,,,,,,,
Nữ,33,Đại học,Chính thức,12340096.05,2,,,,,,,,,
Nam,38,Đại học,Chính thức,12340096.05,2,,,,,,,,,
Nam,39,Đại học,Chính thức,28612115.24,4,,,,,,,,,
Nam,50,Đại học,Chính thức,13637557.58,3,,,,,,,,,
Nữ,42,Đại học,Chính thức,13523669.51,5,,,,,,,,,
Nữ,29,Cao đẳng - Trung cấp nghề,Chính thức,16466235.42,3,,,,,,,,,
Nam,37,THPT,Chính thức,13125355.29,3,,,,,,,,,
Nam,40,Khác,Phi chính thức,13368127.02,5,,,,,,,,,
Nam,43,THPT,Chính thức,13386356.95,5,,,,,,,,,
Nam,40,Thạc sĩ - Tiến sĩ,Chính thức,20254396.85,4,,,,,,,,,
Nam,32,Đại học,Chính thức,15721258.45,3,,,,,,,,,
Nữ,29,THPT,Chính thức,13662942.27,3,,,,,,,,,
Nam,45,Khác,Phi chính thức,13182691.37,3,,,,,,,,,
Nữ,26,Cao đẳng - Trung cấp nghề,Chính thức,18097455,3,,,,,,,,,
Nam,29,THPT,Chính thức,15754778.01,3,,,,,,,,,
Nam,34,Đại học,Chính thức,21829091.66,6,,,,,,,,,
Nữ,24,THPT,Chính thức,15277957.46,3,,,,,,,,,
Nam,25,THPT,Chính thức,18640182.08,3,,,,,,,,,
Nam,46,Đại học,Chính thức,16448593.55,2,,,,,,,,,
Nam,37,Đại học,Chính thức,15650004.9,3,,,,,,,,,
Nữ,49,Đại học,Chính thức,19526898.41,2,,,,,,,,,
Nam,48,Đại học,Chính thức,16049495.25,2,,,,,,,,,
Nam,57,Đại học,Chính thức,18975170.7,5,,,,,,,,,
Nam,44,THPT,Chính thức,13504459.47,3,,,,,,,,,
Nữ,48,Đại học,Chính thức,13693423.5,1,,,,,,,,,
Nam,53,THPT,Chính thức,22482929.86,2,,,,,,,,,
Nam,35,Đại học,Chính thức,21628284.71,4,,,,,,,,,
Nam,42,Đại học,Chính thức,22155390.03,2,,,,,,,,,
Nữ,29,THPT,Phi chính thức,13738606.29,2,,,,,,,,,
Nam,39,Đại học,Chính thức,12337841.81,6,,,,,,,,,
Nữ,52,Đại học,Chính thức,12739194.35,3,,,,,,,,,
Nam,38,Khác,Chính thức,14055473.88,4,,,,,,,,,
Nam,48,Đại học,Chính thức,16335391.55,4,,,,,,,,,
Nữ,31,Thạc sĩ - Tiến sĩ,Chính thức,17385866.9,4,,,,,,,,,
Nam,42,Khác,Phi chính thức,14338429.87,3,,,,,,,,,
Nam,43,Đại học,Chính thức,12410369.5,3,,,,,,,,,
Nữ,45,Đại học,Chính thức,13558659.22,4,,,,,,,,,
Nam,38,THPT,Chính thức,15523669.51,5,,,,,,,,,
Nam,47,THPT,Chính thức,16433205.92,4,,,,,,,,,
Nam,35,Đại học,Chính thức,12682740.37,4,,,,,,,,,
Nam,36,Đại học,Chính thức,18353817.5,4,,,,,,,,,
Nam,42,Đại học,Chính thức,13088993.43,4,,,,,,,,,
Nam,40,Đại học,Chính thức,21504138.22,5,,,,,,,,,
Nam,38,THPT,Chính thức,16455944.33,5,,,,,,,,,
Nam,48,THPT,Chính thức,13270508.67,4,,,,,,,,,
Nam,36,Đại học,Chính thức,13663628.34,4,,,,,,,,,
Nam,41,Đại học,Chính thức,15035871.8,4,,,,,,,,,
Nam,36,THPT,Chính thức,14521415.27,4,,,,,,,,,
Nam,44,THPT,Phi chính thức,14739586.4,5,,,,,,,,,
Nam,39,THPT,Chính thức,13671959.23,5,,,,,,,,,
Nam,40,THPT,Chính thức,16111535.82,5,,,,,,,,,
Nam,40,Đại học,Chính thức,19308917.86,4,,,,,,,,,
Nữ,47,Đại học,Chính thức,14624620.21,2,,,,,,,,,
Nam,48,Đại học,Chính thức,20739292.36,2,,,,,,,,,
Nam,34,THPT,Chính thức,25934056.3,3,,,,,,,,,
Nam,24,THPT,Chính thức,12944918.16,6,,,,,,,,,
Nam,38,THPT,Chính thức,18975067.25,5,,,,,,,,,
Nam,30,Đại học,Chính thức,64117318.44,4,,,,,,,,,
Nữ,46,THPT,Chính thức,16044104.68,2,,,,,,,,,
Nam,39,Đại học,Chính thức,15510046.06,4,,,,,,,,,
Nam,58,Khác,Chính thức,13520631.19,2,,,,,,,,,
Nam,25,Đại học,Chính thức,14043222.58,2,,,,,,,,,
Nữ,48,THPT,Chính thức,12616485.35,2,,,,,,,,,
Nam,25,THPT,Chính thức,12731157.5,5,,,,,,,,,
Nữ,38,THPT,Chính thức,12466039.4,3,,,,,,,,,
Nam,40,THPT,Chính thức,18061969.79,4,,,,,,,,,
Nam,27,Đại học,Chính thức,15241399.59,1,,,,,,,,,
Nam,50,Đại học,Chính thức,17128883.66,2,,,,,,,,,
Nữ,49,THPT,Chính thức,12628246.59,1,,,,,,,,,
Nữ,36,Đại học,Chính thức,16763794.96,7,,,,,,,,,
Nam,44,THPT,Chính thức,21724187.88,4,,,,,,,,,
Nam,51,Khác,Phi chính thức,14256395.18,1,,,,,,,,,
Nam,29,THPT,Chính thức,14315691.46,5,,,,,,,,,
Nữ,38,Đại học,Chính thức,12684014.51,3,,,,,,,,,
Nam,45,THPT,Chính thức,34735684.36,4,,,,,,,,,
Nam,24,THPT,Chính thức,12438498.48,3,,,,,,,,,
Nam,31,Khác,Chính thức,14032833.48,3,,,,,,,,,
