Timestamp,Giới tính của bạn:,Độ tuổi của bạn:,Khu vực bạn đang sinh sống:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1",Lý do - HUMAN-ENF1,"Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2",Lý do - HUMAN-ENF2,"Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1",Lý do - HUMAN-FAC1,"So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2",Lý do - HUMAN-FAC2,"Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Lý do - HUMAN-TRU1,Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,Lý do - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3",Lý do - HUMAN-TRU3,"Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4",Lý do - HUMAN-TRU4,"Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1",Lý do - HUMAN-OUT1
12/28/2025 17:22,Nữ,40 - 49,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,2 người,4,"Vì tham nhũng, nhũng nhiễu",5,"Vì hệ thống và luật định còn mơ hồ, nhiều kẽ hỡ",6,"Quy trình đơn giản hơn, nhưng hệ thống vẫn chưa kiện toàn, nhân sự chưa sắp xếp ổn",5,Không khác lắm,4,"Với tôi, thuế vẫn đang nắm trên những người tầng lớp trung lưu, làm công ăn lương",2,Mức bắt đầu đóng thuế ở mỗi mức quá cao so với mặt bằng chung trong khu vực,2,"Tham nhũng, không minh bạch,",6,"Đã giải thích nhưng không thuyết phục, chủ yếu là thiếu data support cho việc ra quyết định",5,"Tôi tuân thủ, nhưng với tôi mức thuế hiện tại đang đóng quá cao, trong khi lạm phát đang phi mã"
12/28/2025 17:48,Nam,30 - 39,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,1 người,8,"Nếu Nhà nước số hóa dần, nộp thuế trên ETax thì và có barem cụ thể thì khả năng gian lận sẽ giảm xuống, tuy nhiên có thể đang trong quá trình làm nên vẫn cần thêm thời gian.",6,"Tôi có lòng tin chưa cao lắm với Nhà nước trong nhiều vấn đề, trong đó có vấn đề công nghệ.",9,"Cái này thì tôi thấy có cải thiện, do 2 năm khai thuế bằng ETax thì tiện hơn.",8,"Tôi thấy logic cơ bản thì ko khác gì, chỉ điều chỉnh mốc con số nên về tính đơn giản, dễ hiểu, dễ thực hiện thì vẫn không thay đổi, nhưng cách tính thì vẫn khá dễ hiểu.",7,Tôi ko có cơ sở nào nhưng lòng tin thì ở mức trung bình khá.,8,Tôi thấy điều chỉnh theo hướng cải thiện nên vẫn ok. ,4,"Tôi không tin tưởng việc này, nhìn thấy dịch vụ và hàng hóa công ở mức trung bình đến tệ.",6,"Tôi thấy cũng có chia sẻ, truyền thông báo chí về việc này nên cũng tạm ok.",7,Tôi ủng hộ vì nhìn chung mức thuế suất có điều chỉnh tốt hơn; vấn đề còn lại là Nhà nước dùng thuế hiệu quả đến đâu thôi.
12/28/2025 18:25,Nữ,40 - 49,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,1 người,8,"Thực tế cơ quan thuế dễ dàng phát hiện hạng vi gian lận thuế không phải đến từ các qui định của Luật Thuế TNCN mà đến từ cách triển khai, tuyên truyền ở bước thực thi: áp dụng công nghệ, data cross - check,  thanh tra thuế, CQĐT .",9,"Khuyến khích hành vi tiêu dùng cashless của cá nhân, siết chặt các giao dịch cash của hộ kinh doanh cá thể và DN",5,"Trang web cau co quan thue vẫn chưa hỗ trợ chức năngtruy suất thông tin lịch sử về hồ sơ kê khai và nộp thúe cá nhân ( chỉ kiểm tra được các thông tin cơ bản, không thể hiênn chi tiết như Canada/ Mỹ)",8,Bậc tính thuế ít hơn --> tính toán đơn giản hơn.,5,"Không có cơ sở để tin việc này, vì hiện nay các loại dữ liệu để support cơ quan thuế kiểm tra việc tuân thủ thuế chưa đồng bộ giữa các địa phương và các ngành --> nên nếu công dân nào làm trong lĩnh vực buộc phải tuân thủ thì tuân thủ, sống ở địa phương nào mà cơ quan thuế làm gắt hơn thi sẽ
nộp thuế đầy đủ hơn..",5,"Mức thuế hợp lý nhưng nói công bằng thì không hẳn, nhưu đã nói trên, tuỳ vào linh  vực và địa bàn sinh sống thì mức độ nộp thuế khác nhau ( do cơ quan thực thi quyết định)",5,"Luật ngân sách của VN không phản ánh được điều này, đại biểu QH VN không có nhiều cơ hội để phản biện ngân sách QG một cách phù hợp",6,"Theo quy định của Luật Ban hành VB pháp luật, Bộ TC đã giải thích đầy đủ nhưng không thuyết phục.",9,Tôi không có cơ hội để không tuân thủ
12/29/2025 11:17,Nam,25 - 29,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,1 người,9,"Quy định hiện nay chưa có biện pháp chế tài cũng như kiểm soát được giao dịch dòng tiền của cá nhân có phải là thu nhập hay không.
Chưa có quy định cụ thể thu nhập từ tiền lương, tiền công phải bắt buộc chuyển khoản qua tài khoản ngân hàng công ty, dẫn đến thu nhập thực tế cao hơn so với mức công ty kê khai.",10,Đồng ý vì Nhà nước và cơ quan thuể có đủ công cụ để thực thi.,4,"Hiên nay, đang khuyến khích, triển khai cá nhân sử dụng app Etax mobile để thực hiện việc nộp thuế, hoàn thuế thu nhập cá nhân. Tuy nhiên, hiện tại app vẫn chưa đầy đủ chức năng (kê khai thuế, thay đổi thông tin cá nhân, hủy mã số thuế không đúng, đăng ký người phụ thuộc,...) để đảm bảo thực hiện các thủ tục, thao tác so với trang thuedientucanhan của Cục Thuế.
Do quy định phân cấp, phân quyền nên chưa được đồng bộ quy trình đối với cùng cấp thuế (Thuế cơ sở,...). Đơn vị thì làm việc trực tiếp, đơn vị làm việc qua zalo, mail, điện thoại, đơn vị chỉ làm việc trên hệ thống mà không có thông tin cán bộ quản lý thuế, gây khó khăn trong việc xử lý.",5,"Chỉ thay đổi bậc thuế, đối với cách tính, cách thực hiện vẫn như cũ. ",10,Đồng ý vì Nhà nước đang triển khai các chính sách bao trùm.,10,Đồng ý. Tôi cảm thấy mình đóng thuế ít hơn so với trước đây.,10,"Đồng ý vì Nhà nước đang triển khai nhiều dự án, công trình mang lại lợi ích cho người dân.",10,Đồng ý. Thông tin đã được truyền thông rộng rãi qua báo đài.,10,Đồng ý. Vì đó là nghĩa vụ của công dân và tôi tin chính sách mới tốt hơn nên sẽ tuân theo.
12/29/2025 15:53,Nữ,30 - 39,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,1 người,9,"Với thuế TNCN từ tiền lương, tiền công thì trước khi QH sửa đổi để cải cách biểu thuế, tình trạng gian lận đã rất ít xảy ra. Nếu như có thì chỉ ở đối tượng thuộc diện tự QTT trực tiếp với CQT, còn nếu QTT với công ty thì khó gian lận",10,"eTax đang liên thông dữ liệu giữa CQT, BHXH và tờ khai của DN khá tốt để đối chiếu cơ sở dữ liệu này",10,"eTax đang liên thông dữ liệu giữa CQT, BHXH và tờ khai của DN khá tốt để đối chiếu cơ sở dữ liệu này",10,"Tính thuế thì có công thức sẵn để tính, quan trọng là tính đúng hay sai",10,Không nhận ra sự khác biệt giữa quan điểm thực thi của Luật sửa đổi này với trước đây,8,Phần cập nhật GTGC và NPT đã có bậc tiệm cận với mức sống của thành thị,9,"Đất nước đang vươn mình và chống tham nhũng, lãng phí. Thì tiền thuế đổ vào đầu tư công để phát triển đất nước cũng hợp lý",9,Tranh luận rất sôi nổi trên báo chí và các diễn đàn MXH cả năm nay,9,Không nhìn ra có khía cạnh nào chưa tốt ở biểu thuế luỹ tiến hết
12/30/2025 21:05,Nam,30 - 39,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,3 người,3,Quy định về quản lý thuế TNCN chưa có cơ chế thực thi và giám sát chặt. Ví dụ người lao động được người sử dụng lao động cho ESOP được yêu cầu phải nộp thuế khi bán cổ phiếu nhưng hoàn toàn dựa trên tự nguyện khai báo của người lao động và cũng chưa có cách thức để giám sát cổ phiếu được mua vào bán ra là cổ phiếu ESOP,5,"Nhà nước có khả năng phát hiện và xử lý hành vi trốn thuế nhưng chỉ là manual, case by case; chưa có tính hệ thống và truy vết theo batch. Đã biết nhiều case nhà nước có thể trực tiếp truy thu thuế từ tài khoản ngân hàng của người trốn thuế mà người trốn thuế chỉ biết khi đã bị trừ tiền. Tuy nhiên, tôi tin rằng đây là những trường hợp lọt vào tầm ngắm của cơ quan do giàu có, nổi tiếng, tố cáo",9,"Đồng ý, với ứng dụng eTax việc tra cứu thuế, nộp thuế thuận tiện bao gồm cả thuế kinh doanh, thuế bán tài sản, thuế trước bạ",1,"chỉ thay đổi các tham số và bậc, cách tính ko thay đổi",3,thay đổi tham số ko làm thay đổi các ứng xử của cơ quan thuế,7,"tôi thấy phương án giảm trừ gia cảnh mới phù hợp hơn với thực tế đời sống nhưng vẫn chưa phản ánh đúng, đặc biệt là mức sống rất khác nhau theo vùng miền",2,tôi ko rõ tiền thuế được sử dụng như thế nào,6,tôi không tìm thấy nhiều thông tin về lý do và mục tiêu sửa đổi,8,tôi đóng ít hơn nên tôi ủng hộ :)
12/31/2025 9:15,Nữ,30 - 39,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,0 người,8,"Các quy định quản lý thuế hiện nay được sửa đổi chặt chẽ hơn, nhưng có thể chưa đủ mức kiểm soát 100% đối với hành vi gian lận tinh vi.",8,"Nhà nước, cơ quan thuế đang tăng cường khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế, nhưng có thể chưa đủ mức phát hiện 100% đối với hành vi gian lận tinh vi.",5,Các thủ tục chuyển từ trực tiếp sang trực tuyến thì nhanh chóng hơn. Nhưng vì các thủ tục kiểm soát được tăng cường nên có thể không đơn giản hơn.,10,Đối với riêng cá nhân thì tôi thấy dễ thực hiện hơn vì biểu thuế ít bậc hơn.,8,"Chính sách thuế của Nhà nước luôn có mục tiêu khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế. Nhưng người thực thi là cá nhân, cũng giống như mọi công dân sẽ có thiên kiến riêng của mình.",8,Tôi thấy công bằng ở mức độ tương đối. Nếu so sánh với biểu thuế cũ thì biểu thuế mới được sửa đổi tốt hơn rồi.,8,"Tôi nhận thấy Nhà nước đã nỗ lực sử dụng nhiều nguồn ngân sách để đầu tư công, phát triển cơ sở hạ tầng và cải thiện đời sống người dân gần đây trong năm 2025. Tuy nhiên, việc đánh giá hiệu quả chưa có KPI rõ ràng để xem xét.",8,"Nhà nước đã truyền thông rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này một cách tương đối. ",10,Tôi thấy chính sách mới có hướng sửa đổi tích cực so với trước đây nên ủng hộ và tuân thủ chính sách mới.
1/1/2026 14:28,Nữ,30 - 39,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,2 người,9,"Đô thị là nơi tập trung kinh tế, tại đó giao dịch thanh toán phần lớn bằng điện tử, các dấu vết dễ dàng truy xuất, lưu lại dấu vết. Hoá đơn cũng bắt buộc xuất điện tử. Chế tài xử phạt tăng, điều tra xử lý vi phạm trên diện rộng đã tăng tính răn đe.",7,"Khi điều tra sẽ phát hiện, nhưng nguồn lực và công nghệ để rà soát toàn bộ hoạt động kinh tế ở giai đoạn hiện tại thì chưa",5,Ko biết do tôi chưa từng làm thủ tục,5,"Câu hỏi chưa rõ. Dễ tính - dễ thực hiện với ai? Với người làm ctac khấu trừ thuế hay với cơ quan nhà nước?nếu với người lao động bình thường thì do tôi ko tự đọc quy định, ko tự tính nên ko biết có dễ hiểu ko, tôi sẽ hỏi chat GPT hoặc các web và nhập số liệu chờ kết quả. Tôi cũng ko phải người tính thuế ở cty nên ko biết so vs trước đây dễ hay khó hơn.",5,"Nếu đối với những người cùng đối tượng chịu thuế tại cùng khu vực sống sẽ bình đẳng, nhưng giữa người làm công với người kinh doanh nhỏ lẻ thì ko biết vì tôi ko tìm hiểu quy định, giữa người sống ở thành thị với nông thôn ko biết có áp dụng hệ số và chênh lệch theo chi phí sinh hoạt hay ko, nếu ko thì ko bình đẳng",9,"Số thuế nhỏ , phù hợp để đóng góp 1 chút cho ngân sách nn",6,"Chiến lược cải cách đang thực hiện trên diện rộng, tôi tin chính sách chung là đúng đắn nhưng ko biết năng lực thực thi của cả hệ thống có đáp ứng đc ko, lãnh đạo đất nước ko phải người đc đào tạo bài bản về kinh tế, ko tin lắm sẽ làm đc",6,"Ko nghe, ko đọc giải thích nên ko biết",9,Tôi đóng ít hơn và phù hợp thì ủng hộ thôi
1/1/2026 20:53,Nữ,40 - 49,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,2 người,4,"Tôi không thấy nhà nước có giải pháp truy thu thuế hiệu quả, cụ thể là tình trạng trốn thuế/đóng thuế không đúng theo quy định vẫn diễn ra. Ngoài ra, như báo đài đưa tin, 1 số truong hợp người Việt không được thông quan khi đi nước ngoài chỉ vì chưa hoàn tất nợ thuế . Tuy nhiên số nợ đó họ không hề biết đến => chứng tỏ bộ máy quản lý đang còn rất lỏng lẻo.",6,"Điểm này tôi đồng ý, quan trọng Nhà nước có tiến hành làm 1 cách triệt để hay không. Vấn đề chủ yếu theo tôi xuất phát từ nguồn nhân lực quản ly bên Thuế (khả năng quản lý, tính chịu trách nhiệm, kế hoạch triển khai - bao gồm cả vấn đề truyền thông đến người nộp thuế)",5,"Có sự thay đổi nhưng vấn đề về thủ tục giấy tờ vẫn còn nhiêu khê, chưa có tính thống nhất. Chưa hoàn toàn automation mà vẫn phải làm đơn từ thông qua in writing. Ví dụ: hằng năm, công ty tôi vẫn yêu cầu từng nhân viên điền & ký giấy tờ xác nhận uỷ quyền khai báo, confirm chỉ có 1 nguồn thu nhập, rồi từ đó Hr mới có cơ sở làm thủ tục => tại sao đã có phần mềm etax mà không tận dụng? Ngoài ra, Nhà nước đang sử dụng quá nhiều app. Tại sao không tích hợp thông tin tax vào app vssid để tiện quản lý?",6,Đồng ý. Việc giảm thiểu bớt số bậc tính thuế giúp dễ nhớ & dễ tính toán. ,4,"Cho đến khi các hành vi tiêu cực, bao gồm cách thức quản lý lỏng lẻo còn diễn ra thì sự công tâm, bình đẳng sẽ không thể tồn tại",5,"Trên thực tế với mức lương như tôi đang hưởng, mức giảm trừ thuế theo quy định mới không giúp giảm được nhiều",4,"Mức độ đồng ý của tôi khá thấp, vì tôi không thấy các thông tin này được công khai rộng rãi, nên tôi ko rõ phần thuế mình đóng được Nhà nước sử dụng như thế nào. Chưa kể việc ăn chặn tiền Thuế của 1 số cán bộ khiến tôi không thể đặt sự tin tưởng được. ",5,"Neutral. Tôi đồng ý trong các văn bản hiện hành (bao gồm báo đài) thông tin rất rõ ràng. Tuy nhiên, tính minh bạch, rõ ràng còn thể hiện qua mức độ truyền thông tin của Nhà nước đến với người lao động. Tôi đánh giá chưa thật sự hiệu quả. Tôi tin ở thời điểm hiện tại, vẫn có những người chưa hề hay biết về mục đích, tinh hiệu quả của sự thay đổi này. ",5,"Tôi vẫn sẽ tuân thủ nhưng tôi mong nhà nước cần đánh giá lại cách tính thuế với những người có mức lương như tôi. Tôi nhận thấy người làm công ăn lương khi tuân thủ các nghĩa vụ đóng các khoản theo quy định nhà nước, nhưng khi hưởng chỉ được hưởng ở 1 mức nhất định. Ví dụ bảo hiểm thất nghiệp maximum là 12 tháng dù đi làm 12 năm hay 15 năm. Vậy tại sao đối với thuế thu nhập, không áp dụng mức trần phù hợp với người làm công ăn lương, để những người như chúng tôi cảm thấy nhẹ nhàng hơn khi đóng thuế."
1/2/2026 7:14,Nam,30 - 39,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,1 người,7,"Thời gian gần đây Nhà nước bắt đầu có sự gay gắt hơn trong việc truy thu thuế, đặc biệt hộ kinh doanh (bao gồm offline & online), đồng thời đưa ra nhiều quy định để kiểm soát chặt vấn đề này từ năm 2026. ",6,"Nhìn chung, trong 2-3 năm trở lại đây, Nhà nước đã đầu tư khá nhiều vào công nghệ nhằm hỗ trợ cho các thủ tục hành chính trở nên tiện lợi hơn, ví dụ như etax nên tôi đồng ý với nhận định này. Tuy nhiên, Nhà nước cần tận dụng tối đa tính năng của ứng dụng trong việc quản lý thuế, tránh việc nửa online nửa offline như hiện tại.",6,So với trước đây thì đúng là thủ tục có phần đơn giản hơn nhưng chỉ ở mức tạm chấp nhận. ,8,Việc giảm thiểu số bậc thuế giúp cho việc tính toán trở nên đơn giản và nhanh chóng,6,"Các thay đổi gần đây dù ít hay nhiều đều mang lại tín hiệu tích cực, đặc biệt việc thay đổi mức giảm trừ gia cảnh & người phụ thuộc giúp giảm thiểu gánh nặng tài chính cho người lao động có thu nhập thấp nên tôi đồng ý với câu này. ",6,Dù giảm không quá nhiều nhưng tôi vẫn cảm thấy hài lòng với sự thay đổi này.,5,"Ở phần này tôi cần Nhà nước đưa ra thông tin minh bạch hơn vì hiện tôi không biết nhà nước đang thu bao nhiêu, chi bao nhiêu, tỷ trọng chi như thế nào.",6,Phần này tôi có đọc qua các thông tin trên báo đài nên thấy mọi thứ đều rõ ràng. ,7,Việc thay đổi thuế TNCN đâu đó giúp cho chính tôi và cả nhân viên bên dưới cảm thấy nhẹ gánh trong việc đóng thuế. Mặc dù mọi việc đều có 2 mặt nhưng tổng quan chung đây vẫn là 1 chính sách tốt từ phía Nhà nước đối với người lao động.
1/2/2026 8:49,Nam,25 - 29,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,0 người,8,cơ quan thuế có nhiều dữ liệu để truy xuất và quản lý hơn,6,"công nghệ có thể đủ, còn về khả năng tôi không chắc",7,Không rõ do tôi chưa thực hiện bao giờ. ,8,Đồng ý. Các bậc giảm đơn giản hơn trước.,7,"Dựa vào dữ liệu quá khứ, tôi cảm thấy chưa đủ thuyết phục Nhà nước, cơ quan thuế thực thi khách quan, công bằng.",6,Quyền lợi đi kèm chưa phù hợp so với mức thuế phải đóng.,6,Không thấy rõ số tiền thuế này được sử dụng hiệu quả thế nào.,8,Đồng ý. Tôi thấy nhà nước có truyền thông rõ ràng trên báo chí.,8,Đồng ý theo góc độ tuân thủ của công dân.
1/2/2026 10:42,Nữ,30 - 39,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,1 người,7,Tôi chưa thấy cách quản lý thuế của các nguồn thu nhập không chính thức hoặc từ nước ngoài không qua hợp đồng lao động,7,Tương tự câu trước.,6,Khi có vấn đề liên hệ với cơ quan thuế vẫn còn rất khó khăn.,6,Đơn giản hơn về từ 7 còn 5 bậc. Nguyên tắc tính cũng tương tự trước nên không thể kết luận là dễ hiểu hơn và dễ thực hiện hơn.,5,Để kết luận được điều này cần nhiều dữ liệu hơn.,6,Cần thêm dữ liệu và cần biết là đang so sánh với điều gì để kết luận là công bằng hay không. Hiện tại chỉ có thể kết luận là mức đóng ít hơn thì thích hơn.,3,Tôi chưa thấy sự minh bạch trong việc sử dụng tiền thuế của dân.,5,Tôi chưa chủ động tìm hiểu nhà nước đã giải thích những gì về đợt sửa đổi thuế lần này. Nếu là minh bạch thì theo tôi kênh truyền thông của nhà nước nên mạnh hơn và tiếp cận người nghe rộng rãi hơn.,8,"Ngoài việc tuân thủ, dường như không còn lựa chọn nào khác."
1/2/2026 14:26,Nữ,40 - 49,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,2 người,5,"trên thực tế còn nhiều trường hợp trốn/né thuế khá tinh vi, và sự thiếu minh bạch của chính cán bộ xử lý nên dù cơ quan quản lý có nỗ lực để siết chặt nhưng chưa đến mức ""dễ dàng bị phát hiện"" và ""xử lý nghiêm minh""",5,mặc dù cơ quan quản lý đã có những nỗ lực ứng dụng công nghệ vào việc quản lý và giám sát nhưng còn bị hạn chế ở nguồn lực - nhân sự thực hiện - năng lực triển khai một cách đồng bộ trên toàn hệ thống.,5,"mặc dù đã và đang đẩy mạnh các thủ tục thực hiện online nhưng còn nhiều bước và nhiều loại giấy tờ thủ tục, doanh nghiệp bắt buộc vẫn phải liên hệ trực tiếp cán bộ thuế. ",5,"không quan tâm lắm, việc tính toán này đã có người khác làm",5,"hi vọng là vậy, e rằng sẽ vẫn tồn tại sự khác biệt/cách biệt trong việc hiểu và vận dụng chính sách thuế ở các địa phương",5,đành phải chấp nhận vì trước nay đã có tổ chức/hiệp hội/đại biểu quốc hội nào thành công trong việc thuyết phục sự diều chỉnh đâu. Còn nhiều khoản chi phí thực tế cũng như các ngưỡng chịu thuế cần được tính toán và xem xét. ,5,"hi vọng là thế, cần có cơ quan giám sát tách bạch và có cơ chế minh bạch/giải trình về việc sử dụng tiền thuế vào các dịch vụ công nào, định kỳ hàng năm trước đại diện người dân ",5,"không phản đối cũng không hoàn toàn đồng ý, cơ bản là nhà nước truyền thông cũng đủ và tạo diễn đàn tranh luận cũng ở mức vừa đủ khi điều chỉnh chính sách về thuế TNCN, không quá khó hiểu hay phức tạp với mặt bằng chung người dân. Nhưng nó vừa đủ với dân trí thức là chính, còn phần đông người dân còn lại thì không nắm được gì nhiều.",5,"sẵn sàng tuân thủ vì không có lựa chọn, tuy nhiên tôi cũng k phản đối, chỉ hi vọng trong tương lai sẽ có nhiều chính sách đc cải thiện"
